date,start_time,duration,location,witnesses,colors,remarks,year,quarter,duration_seconds,country,postnr,latitude,longitude
29-06-2023,23:45,2x 1–2 sek,8680 Ry,2,hvid,se beretning,2023,2,2,Danmark,8680,56.08481116,9.71786836
15-07-1980,20:00,ca. 1 t,5260 Odense S,3,rød,se beretning,2023,3,3600,Danmark,5260,55.34939755,10.39917484
31-10-2015,19:35,5 min,4800 Nykøbing F,4,rød,se beretning,2023,3,300,Danmark,4800,54.7930621,11.90198993
01-05-2021,19:30,ca. 15–20 sek,Grib Skov,1,ukendt,se beretning,2023,3,20,Danmark,nan,,
05-08-2022,13:32,8 sek,"8909 Torghatten,",2,ukendt,se beretning,2023,3,8,Norge,8909,,
10-09-2022,00:30,3 sek,6261 Bredebro,1,"blå, grøn",se beretning,2023,3,3,Danmark,6261,55.07311357,8.68091354
06-07-2023,15:46,3 sek,6240 Løgumkloster,1,"hvid, sølv",se beretning,2023,3,3,Danmark,6240,55.06237954,8.96415413
16-07-2023,23:56,60–90 sek,"07601 Manavgat/Antalya, Tyrkiet",5,ukendt,se beretning,2023,3,90,Danmark,0760,,
21-07-2023,23:25,8 min,8585 Glesborg,2,"grøn, hvid",se beretning,2023,3,480,Danmark,8585,56.58757292,10.64766235
23-08-2023,19:00,5 min,2000 Frederiksberg,2,hvid,se beretning,2023,3,300,Danmark,2000,55.67945641,12.51562935
24-08-2023,23:40,ca. 10 min,6300 Gråsten,1,ukendt,Projektørlysse beretning,2023,3,600,Danmark,6300,54.91730187,9.55791076
01-09-2023,21:15,5 sek,9530 Støvring,2,hvid,se beretning,2023,3,5,Danmark,9530,56.89267972,9.80945918
01-09-2023,21:55,1–2 min,4200 Slagelse,1,rød,se beretning,2023,3,120,Danmark,4200,55.40887345,11.37134678
06-09-2023,17:05,2–3 sek,8464 Galten,1,sølv,se beretning,2023,3,3,Danmark,8464,56.17800104,9.91179535
09-09-2023,23:00,ca. 1–2 min,2650 Hvidovre,1,rød,se beretning,2023,3,120,Danmark,2650,55.58934868,12.46097002
16-09-2023,23:00,5–10 sek,4660 Store Heddinge,2,ukendt,fuglese beretning,2023,3,10,Danmark,4660,55.33554618,12.51110642
30-09-2023,22:40,?,"8600 Voel,  Silkeborg",1,"grøn, rød",se beretning,2023,3,0,Danmark,8600,56.17147071,9.4900253
20-12-1999,00:00,30 sek,7860 Spøttrup,1,gul,se beretning,2023,4,30,Danmark,7860,56.62419195,8.82098992
30-08-2022,22:40,20 sek,4791 Borre,1,hvid,se beretning,2023,4,20,Danmark,4791,54.97429881,12.7284169
20-08-2023,00:10,1 min,4295 Stenlille,1,ukendt,se beretning,2023,4,60,Danmark,4295,55.55246779,11.57749201
14-09-2023,23:15,20 min,4220 Korsør,1,hvid,projektørlysse beretning,2023,4,1200,Danmark,4220,55.34799675,11.02962796
05-10-2023,20:54,2 min,"03189 Orihuela Costa, Las Colinas Golf,",2,ukendt,se beretning,2023,4,120,Spanien,0318,,
08-10-2023,22:15,5 min,7190 Billund,1,"hvid, rød",flylysse beretning,2023,4,300,Danmark,7190,55.73792043,9.10071489
12-10-2023,20:17,1 min,4540 Fårevejle,2,hvid,Starlinkse beretning,2023,4,60,Danmark,4540,55.85310811,11.37403038
12-10-2023,20:15,ca. 30 sek,4700 Næstved,1,ukendt,Starlinkse beretning,2023,4,30,Danmark,4700,55.19504272,11.77357353
12-10-2023,20:15,?,6330 Bov,2,ukendt,Starlinkse beretning,2023,4,0,Danmark,6330,54.84549059,9.30983473
12-10-2023,20:16,?,6300 Gråsten,2,ukendt,Starlinkse beretning,2023,4,0,Danmark,6300,54.91730187,9.55791076
12-10-2023,20:20,ca. 20 sek,4990 Sakskøbing,1,ukendt,Starlinkse beretning,2023,4,20,Danmark,4990,54.8143415,11.63568865
12-10-2023,21:45,15 min,6100 Haderslev,1,"hvid, rød",se beretning,2023,4,900,Danmark,6100,55.24177268,9.61886938
